"施設名","緯度","経度","住所","電話番号"
"マロニエ工房","34.705404","137.709569","浜松市中央区鴨江三丁目13-6","053-458-3444"
"Fitデンタルラボラトリー","34.730966","137.746949","浜松市中央区早出町1077-7","053-465-6753"
"メイク","34.775175","137.689962","浜松市中央区花川町1788","053-439-8998"
"コスギ・デンチャー・テクニカ","34.767837","137.762355","浜松市中央区積志町810","053-434-1336"
"M's Dental LaboTec","34.757143","137.725268","浜松市中央区小豆餅一丁目34-30","053-439-0776"
"佐々木昭技工室","34.676006","137.705934","浜松市中央区米津町1961-1","053-449-3235"
"一瀬デンタルラボラトリー","34.843642","137.817568","浜松市浜名区上島1946-1","053-583-0132"
"清光デンタルラボラトリー","34.843553","137.818548","浜松市浜名区上島1993-2","053-583-0960"
"太箸歯科技工所","34.836426","137.810133","浜松市浜名区中瀬2616-2","053-588-7026"
"ATSUMI　ART　OFFICE　（アツミ・アート・オフィス）","34.826819","137.801036","浜松市浜名区於呂3136-4","053-588-2089"
"デンタルラボむらまつ","34.789213","137.804300","浜松市浜名区善地535-2","053-585-0070"
"浜名デンタルラボラトリー","34.796541","137.785591","浜松市浜名区貴布祢394-15","053-587-2690"
"K2デンタル（ケーツーデンタル）","34.780266","137.765382","浜松市浜名区内野2846","053-586-9165"
"おおたかデンタルデンチャー","34.814846","137.805672","浜松市浜名区中瀬193-1","053-588-2779"
"相羽義研","34.680738","137.628155","浜松市中央区舞阪町長十新田313","053-596-1685"
"create T（クリエイト　ティー）","34.696676","137.646228","浜松市中央区雄踏一丁目10-4","053-596-2728"
"ナビデンタル","34.804858","137.623609","浜松市浜名区細江町気賀10038-5","053-527-1815"
"浜北歯研","34.788180","137.773109","浜松市浜名区小松2453-2","053-586-1996"
"マイン・デンタル・ラボラトリー","34.827871","137.798453","浜松市浜名区於呂2988","053-588-1573"
"エイブルデンタルラボ","34.787793","137.798934","浜松市浜名区寺島2756-1","053-586-5331"
"村越歯研","34.805020","137.552747","浜松市浜名区三ヶ日町三ヶ日696","090-4163-9885"
"モルフォ有床義歯技工所","34.731630","137.733449","浜松市中央区高林四丁目9-25","053-475-2205"
"浜松テクニカルセンター","34.781020","137.745540","浜松市浜名区染地台一丁目44-20","053-586-0553"
"株式会社　A・インフィニティ","34.687379","137.629138","浜松市中央区馬郡町1186-44","053-596-1446"
"ウインドブロウデンタルラボラトリー","34.847499","137.807360","浜松市天竜区二俣町鹿島202-20","090-7309-9439"
"MATT DENTAL","34.791171","137.797798","浜松市浜名区高畑172","053-570-3316"
"株式会社　Herbest","34.748394","137.729840","浜松市中央区萩丘二丁目28-16","053-471-2241"
"ONDAラボ","34.762815","137.734497","浜松市中央区初生町169-2","053-437-9910"
"タカスデンタル・ラボ","34.657704","137.763590","浜松市中央区遠州浜一丁目24-6","053-425-1439"
"森下デンタルアート","34.807191","137.805830","浜松市浜名区西美薗2606-2","053-585-7471"
"たばなデンタル・ラボ","34.888426","137.852179","浜松市天竜区只来825",""
"Y.デンタル","34.790789","137.752292","浜松市浜名区内野台四丁目16-17","053-587-8884"
"有限会社ADL","34.727886","137.764384","浜松市中央区丸塚町80-6","053-460-7835"
"和田精密歯研株式会社　浜松ラボ","34.715546","137.775953","浜松市中央区和田町215-5","053-468-2012"
"スズキデンタル工房","34.695659","137.643134","浜松市中央区雄踏一丁目23-5","053-592-3823"
"株式会社プラハットデンタル","34.808564","137.766568","浜松市浜名区新原4220-5","053-585-5355"
"トライデント","34.696126","137.760602","浜松市中央区本郷町1367-1","053-461-8005"
"メルデンタルアート","34.765634","137.733470","浜松市中央区初生町430-1","053-523-7652"
"松本デンタルラボラトリー","34.805639","137.720505","浜松市中央区三幸町489-3","090-3930-6928"
"崎山ラボ","34.810961","137.780169","浜松市浜名区新原3428-2","053-585-4303"
"Dental Art EXE","34.709483","137.778736","浜松市中央区飯田町300-1","053-545-7378"
"Chelsea lab","34.724878","137.751596","浜松市中央区上西町2-10","053-401-6903"
"（有）城北デンタルラボラトリー","34.700477","137.694231","浜松市中央区入野町4902-8　シャトレかみむら1F中央","053-449-4447"
"株式会社オルソ","34.715630","137.713854","浜松市中央区広沢二丁目53-2","053-413-4182"
"Dentory（デントリー）","34.716775","137.707857","浜松市中央区蜆塚三丁目16-22-23","053-523-8506"
"サザンオールスターズ　デンタルラボラトリー　成島技工室","34.748189","137.744114","浜松市中央区有玉南町2461","053-523-7309"
"Glass.Y　Dental","34.726239","137.751771","浜松市中央区早出町1248-28","090-1986-7842"
"Pro.Fit40","34.721767","137.754977","浜松市中央区上西町28-9","053-589-3855"
"IOL","34.789987","137.790316","浜松市浜名区横須賀619","053-586-2863"
"株式会社コットンテール浜松事業所","34.762201","137.648645","浜松市中央区和地町773","053-486-0313"
"デンタルラボ・フデ","34.780563","137.752378","浜松市浜名区内野1200","053-401-8127"
"BSデンタル","34.691411","137.682730","浜松市中央区高塚町896-1","053-447-4193"
"大川医科歯科研究所　浜松ミリングセンター（CAD/CAMセンター）","34.738215","137.752137","浜松市中央区早出町221-7","053-465-5551"
"佐野入れ歯工房","34.726124","137.710498","浜松市中央区富塚町919-307","053-474-2281"
"まきの歯科工房","34.721053","137.753480","浜松市中央区上西町34-2","090-5457-7695"
"MASAデンタルラボ","34.701193","137.712566","浜松市中央区東伊場一丁目32-24","053-458-8140"
"グロースデンタルラボラトリー","34.764564","137.719971","浜松市中央区初生町650-1","090-8499-8459"
"シーピーデンタルラボラトリー","34.752316","137.736240","浜松市中央区有玉西町2197-10","053-474-3793"
"K・Gプロダクト","34.690347","137.685874","浜松市中央区高塚町111-1","090-1988-9372"
"有限会社　坪井商事","34.788197","137.644986","浜松市浜名区細江町気賀3258-4","053-522-4382"
"加藤ラボ","34.719551","137.776836","浜松市中央区天龍川町125-1","090-5109-7411"
"有限会社　FDラボ室","34.719122","137.717279","浜松市中央区布橋二丁目3-52","053-570-8689"
"UCHIYAMA CERAMIC","34.711749","137.679704","浜松市中央区大平台三丁目16-15　B-Ⅱ","053-571-7659"
"ベルデ","34.711978","137.700680","浜松市中央区佐鳴台四丁目36-12","053-415-0418"
"セブンデンタルラボラトリー","34.726886","137.751238","浜松市中央区早出町1246-5","090-9122-2997"
"アルミックデンタル","34.708637","137.740333","浜松市中央区中央野町910-3","053-422-2667"
"内山デンタルファクトリー","34.778019","137.742844","浜松市中央区半田山四丁目38-16","053-433-5227"
"カワイデンタルラボラトリー","34.754641","137.802870","浜松市中央区常光町231-2","053-435-1511"
"ナカゼ歯科技工所","34.811395","137.779158","浜松市浜名区新原3596-3","053-585-2181"
"ブライトデンタルラボラトリー","34.688689","137.699973","浜松市中央区若林町1214","053-448-1194"
"田中デンタルラボ","34.722677","137.695988","浜松市中央区富塚町2478-1","053-474-2923"
"ヤマシタデンタルラボ","34.827033","137.666790","浜松市浜名区引佐町井伊谷1349-6","053-542-3000"
"EISHI DENTURE DESIGN","34.711294","137.702775","浜松市中央区佐鳴台四丁目21-26","090-1620-0148"
"市川技士工房","34.746072","137.738775","浜松市中央区上島六丁目31-4","053-543-4201"
"M's Dental Laboratory","34.713191","137.678316","浜松市中央区大平台三丁目28-30","053-482-0888"
"Dent　Works","34.695774","137.700825","浜松市中央区若林町2602-3","053-453-7298"
"むらい歯科口腔外科クリニック技工所","34.704344","137.691845","浜松市中央区佐鳴台六丁目10-15","053-445-3353"
"SUZUKI DENTAL LAB","34.731094","137.775983","浜松市中央区篠ケ瀬町462-2","080-3005-6236"
"ユニオン・サポート","34.737203","137.792489","浜松市中央区松小池町160","053-422-8686"
"HAO DENTAL BASE","34.732732","137.712831","浜松市中央区富塚町1574-21","090-5620-4314"
"清光デンタルラボラトリー新原事業所","34.809944","137.771174","浜松市浜名区新原4152-1","090-3253-5128"
"あいみるデンタルラボ","34.699793","137.663820","浜松市中央区志都呂一丁目4-16","053-415-0777"
