管轄,管理番号,施設名,所在地
岩手県-盛岡市保健所,岩手県-盛岡市-0038,かたびらデンタルラボ,盛岡市厨川一丁目19-17
岩手県-盛岡市保健所,岩手県-盛岡市-0039,Ｃ－ＴＥＣ,盛岡市高松三丁目11-35
岩手県-盛岡市保健所,岩手県-盛岡市-0040,デンタルラボ・ダイモン,盛岡市川目第13地割192-1
岩手県-盛岡市保健所,岩手県-盛岡市-0041,アキラデンタルラボラトリー,盛岡市つつじが丘4-13
岩手県-盛岡市保健所,岩手県-盛岡市-0042,デンタルラボ村木,盛岡市津志田西二丁目19-43
岩手県-盛岡市保健所,岩手県-盛岡市-0043,歯科工房クレド,盛岡市月が丘三丁目32-24
岩手県-盛岡市保健所,岩手県-盛岡市-0044,キャストクラフト,盛岡市山岸二丁目12-18
岩手県-盛岡市保健所,岩手県-盛岡市-0045,野中デンタルラボ,盛岡市若園町10-2
岩手県-盛岡市保健所,岩手県-盛岡市-0046,盛南デンタルラボ,盛岡市津志田５－２
岩手県-盛岡市保健所,岩手県-盛岡市-0047,Ｆｕｍｉ　Ｄｅｎｔａｌ　Ｃｒｅａｔｉｏｎ,盛岡市向中野４丁目3-28
岩手県-盛岡市保健所,岩手県-盛岡市-0048,ｇｒａｔＤＥＸ,盛岡市上堂１丁目６-６　２Ｆ
岩手県-盛岡市保健所,岩手県-盛岡市-0049,たきむら　オーソ・ラボラトリー,盛岡市上鹿妻田貝2-3
岩手県-盛岡市保健所,岩手県-盛岡市-0050,Denture　工房,盛岡市前九年二丁目16番11号
岩手県-盛岡市保健所,岩手県-盛岡市-0051,Rise Art 株式会社,盛岡市中ノ橋通一丁目7番1　エスビル中ノ橋3F
岩手県-盛岡市保健所,岩手県-盛岡市-0052,古舘技工所,盛岡市緑が丘三丁目33-10
岩手県-盛岡市保健所,岩手県-盛岡市-0053,金泉デンタル・ラボラトリー,盛岡市下太田沢田80-2
岩手県-盛岡市保健所,岩手県-盛岡市-0054,ウスザワデンタルラボラトリー,盛岡市上堂一丁目4番26号
岩手県-盛岡市保健所,岩手県-盛岡市-0055,有限会社関錦二郎商店,盛岡市大通二丁目6番14号
岩手県-盛岡市保健所,岩手県-盛岡市-0056,永洞ラボ,盛岡市黒川8-16-7
岩手県-盛岡市保健所,岩手県-盛岡市-0057,Dental.E,盛岡市黒川8-16-7
岩手県-盛岡市保健所,岩手県-盛岡市-0058,林ラボ,盛岡市黒川8-16-7
岩手県-盛岡市保健所,岩手県-盛岡市-0059,タテックス,盛岡市三本柳７－１９－２１
岩手県-盛岡市保健所,岩手県-盛岡市-0060,ｄｅｎｔｕｒｅ　ｌａｂｏ．Ｌｉｂｒｅ,盛岡市青山二丁目23-5
岩手県-盛岡市保健所,岩手県-盛岡市-0061,サニーデンタル,盛岡市前九年２丁目10-39
岩手県-盛岡市保健所,岩手県-盛岡市-0062,入れ歯　やはた屋,盛岡市夕顔瀬町2-9
岩手県-盛岡市保健所,岩手県-盛岡市-0063,Dental Labo Lien,盛岡市桜台１丁目14-11
岩手県-盛岡市保健所,岩手県-盛岡市-0064,河南歯研,盛岡市津志田27-45-2
岩手県-盛岡市保健所,岩手県-盛岡市-0065,ウエストデンタルラボ,盛岡市月が丘３丁目３９－２５
岩手県-盛岡市保健所,岩手県-盛岡市-0066,Dental Labo Trust,盛岡市本宮５丁目２－３　宮野アパート２階
岩手県-県央保健所,岩手県-県央-0001,松江ラボ,滝沢市穴口447-15
岩手県-県央保健所,岩手県-県央-0002,（有）メークデント,滝沢市湯舟沢33-9
岩手県-県央保健所,岩手県-県央-0003,滝沢歯科技工所,滝沢市平蔵沢182-118
岩手県-県央保健所,岩手県-県央-0004,デンタルワン,滝沢市鵜飼向新田7-122
岩手県-県央保健所,岩手県-県央-0005,ササキデンタルラボラトリー,滝沢市鵜飼迫16-12
岩手県-県央保健所,岩手県-県央-0006,(有)クラフトデンタル,滝沢市穴口453-18
岩手県-県央保健所,岩手県-県央-0007,(有)ムラマツデンタルスタジオ,紫波郡矢巾町大字広宮沢5-111
岩手県-県央保健所,岩手県-県央-0008,オーラル,滝沢市鵜飼向新田7-231
岩手県-県央保健所,岩手県-県央-0009,太田歯科技工所,雫石町下町東６３-4
岩手県-県央保健所,岩手県-県央-0010,デンタルラボ矢巾,矢巾町南矢幅8-286
岩手県-県央保健所,岩手県-県央-0011,川村デンタルラボラトリー,滝沢市巣子274-33
岩手県-県央保健所,岩手県-県央-0012,(有)デンタルワーク,滝沢市室小路163-7
岩手県-県央保健所,岩手県-県央-0013,久水デンタルラボ,滝沢市鵜飼迫146-7
岩手県-県央保健所,岩手県-県央-0014,ナデサ,雫石町源太堂44-2
岩手県-県央保健所,岩手県-県央-0015,Ｓ．Ｓデンタル・スタジオ,八幡平市堀切12-58-13
岩手県-県央保健所,岩手県-県央-0016,寺田デンタルラボラトリー,八幡平市大更22-162　2F
岩手県-県央保健所,岩手県-県央-0017,ヤマザキデンチャーラボ,八幡平市大更18-50-101
岩手県-県央保健所,岩手県-県央-0018,ＡＤﾃﾞﾝﾀﾙﾗﾎﾞﾗﾄﾘｰ（休止中）,八幡平市松尾寄木1-590-334
岩手県-県央保健所,岩手県-県央-0019,吉田技研,紫波郡紫波町上平沢南馬場５４－２
岩手県-県央保健所,岩手県-県央-0020,デンタルプラス,滝沢市大釜高森7-26
岩手県-県央保健所,岩手県-県央-0021,Ｓ．Ｔデンタルラボ,滝沢市鵜飼狐洞1-328
岩手県-県央保健所,岩手県-県央-0022,デンタルラボラトリーイマージュ,八幡平市松尾28-13
岩手県-県央保健所,岩手県-県央-0023,DENTAL FACTORY HOSOKAWA,紫波郡紫波町西長岡字六日町33-3
岩手県-県央保健所,岩手県-県央-0024,プラスデンタルデザイン,滝沢市巣子279-41
岩手県-県央保健所,岩手県-県央-0025,スマイルアート,紫波郡紫波町稲藤字後藤138
岩手県-県央保健所,岩手県-県央-0026,フクヤマ,紫波郡矢巾町大字南矢幅15-104-11
岩手県-県央保健所,岩手県-県央-0027,MDL,紫波郡紫波町中島字前郷39-2
岩手県-県央保健所,岩手県-県央-0028,西根デンタルラボトリー,八幡平市大更26-85-8
岩手県-県央保健所,岩手県-県央-0029,真喜デンチャーラボラトリー,滝沢市鵜飼笹森183-4
岩手県-中部保健所,岩手県-中部-0001,湯沢歯科技工所,花巻市下幅26-21
岩手県-中部保健所,岩手県-中部-0002,カマダ歯工,花巻市桜町1-119
岩手県-中部保健所,岩手県-中部-0003,（有）ササキ歯研,花巻市山の神427-10
岩手県-中部保健所,岩手県-中部-0004,みちのくデンタルラボラトリー,花巻市大畑1-35-3
岩手県-中部保健所,岩手県-中部-0005,ヤオイタデンタルラボラトリー,花巻市二枚橋町大通り2-27-7
岩手県-中部保健所,岩手県-中部-0006,（株）エフケーデンタル,花巻市松園町365-52
岩手県-中部保健所,岩手県-中部-0007,佐々木歯科技工所,花巻市石鳥谷町好地16-9-25
岩手県-中部保健所,岩手県-中部-0008,及川デンタルラボラトリー,花巻市小瀬川4-101-1
岩手県-中部保健所,岩手県-中部-0009,シュー・デンタル・サプライ,花巻市大迫町外川目28-70
岩手県-中部保健所,岩手県-中部-0010,デンタル・プライム,花巻市円万寺字向野30-3
岩手県-中部保健所,岩手県-中部-0011,(有)星ケ丘デンタル・ラボラトリィ,花巻市星が丘1-26-7
岩手県-中部保健所,岩手県-中部-0012,ソフィアデンタル,花巻市東和町東晴山10区330
岩手県-中部保健所,岩手県-中部-0013,ホワイトイワテ,花巻市東和町外谷地6-95-3
岩手県-中部保健所,岩手県-中部-0014,ANET（アネット）,花巻市桜台1-5-8
岩手県-中部保健所,岩手県-中部-0015,三上歯技,花巻市高木13-165-2
岩手県-中部保健所,岩手県-中部-0016,D-Exact,花巻市東和町土沢8区380
岩手県-中部保健所,岩手県-中部-0017,エヌサポート,花巻市大迫町大迫3-145
岩手県-中部保健所,岩手県-中部-0018,（有）アライズ・サン・ラボ,北上市藤沢19-7-7
岩手県-中部保健所,岩手県-中部-0019,株式会社上神田歯研,北上市相去町山田２－２４
岩手県-中部保健所,岩手県-中部-0020,きくちデンタル［きくち歯科医院内］,北上市青柳町２－１－３
岩手県-中部保健所,岩手県-中部-0021,伊藤歯科技工所,北上市上江釣子１５－６－２
岩手県-中部保健所,岩手県-中部-0022,佐藤歯科技工所,北上市下江釣子１６－１９６－１１
岩手県-中部保健所,岩手県-中部-0023,ラボ･高橋,北上市上野町１－１１－15
岩手県-中部保健所,岩手県-中部-0024,Ｂテックラボ,北上市和賀町竪川目１－２３４－３２
岩手県-中部保健所,岩手県-中部-0025,（有）エムアンドワイ［佐々木歯科医院内］,北上市村崎野１５－５３７－５
岩手県-中部保健所,岩手県-中部-0026,ピースデンタル・ラボ,北上市鬼柳町新井田７８－４
岩手県-中部保健所,岩手県-中部-0027,デンタルラボユアーズ,北上市滑田9-40-2
岩手県-中部保健所,岩手県-中部-0028,デンタルラボキューブ,北上市相去町上大谷地３３－１１
岩手県-中部保健所,岩手県-中部-0029,Ｋ2デンタルラボ,遠野市上組町10-4
岩手県-中部保健所,岩手県-中部-0030,Kセラミック,遠野市松崎町白岩１５地割１５−４
岩手県-奥州保健所,岩手県-奥州-0001,M・Mデンタルラボラトリー,奥州市水沢字前田袋104番地6
岩手県-奥州保健所,岩手県-奥州-0002,デンタルアート・エヌ,奥州市水沢字北田104番地1
岩手県-奥州保健所,岩手県-奥州-0003,朴沢デンタルラボ,奥州市水沢字桜屋敷90番地
岩手県-奥州保健所,岩手県-奥州-0004,松林デンタルラボラトリー,奥州市水沢佐倉河字横枕13番地11
岩手県-奥州保健所,岩手県-奥州-0005,吉田デンタルシステム,奥州市水沢中田町3番22号
岩手県-奥州保健所,岩手県-奥州-0006,佐々木デンタルラボ,奥州市水沢佐倉河字植田16番地
岩手県-奥州保健所,岩手県-奥州-0007,打越デンタル・ラボ,奥州市水沢字北丑沢77番地1
岩手県-奥州保健所,岩手県-奥州-0008,八重畑デンタルラボ,奥州市水沢字赤土田52番地２　ハウス田園Ａ棟
岩手県-奥州保健所,岩手県-奥州-0009,懸田歯科技工室,奥州市江刺愛宕字林59番地6
岩手県-奥州保健所,岩手県-奥州-0010,後藤デンタルラボ,奥州市江刺中町8番20号
岩手県-奥州保健所,岩手県-奥州-0011,及川歯科技工所,奥州市江刺八日町一丁目9番16号
岩手県-奥州保健所,岩手県-奥州-0012,前沢歯科技工,奥州市前沢字駅東三丁目5番地11
岩手県-奥州保健所,岩手県-奥州-0013,合同会社チダデンタルラボ,奥州市前沢古城字田中前27番地1
岩手県-奥州保健所,岩手県-奥州-0014,佐藤歯科技工所,奥州市胆沢若柳字芦ノ随14番地1
岩手県-奥州保健所,岩手県-奥州-0015,坂井デンタルラボ,胆沢郡金ケ崎町西根古寺8番地3
岩手県-一関保健所,岩手県-一関-0001,ボルテックス・デンタルラボラトリー,一関市厳美町字上野463番地5
岩手県-一関保健所,岩手県-一関-0002,(株)ユニオンデンタル・ラボ,一関市三関字日照5番地
岩手県-一関保健所,岩手県-一関-0003,デンタルラボ・アベ,一関市山目字立沢123番地
岩手県-一関保健所,岩手県-一関-0004,歯牙工房ミウラ,一関市真柴字矢ノ目沢93番地1
岩手県-一関保健所,岩手県-一関-0005,一関デンタル・サービス,一関市赤荻字中条27番地
岩手県-一関保健所,岩手県-一関-0006,一関デンタル,一関市台町17番11号
岩手県-一関保健所,岩手県-一関-0007,アイエス・デンタル・ラボ,一関市舞川字水無沢71番地1
岩手県-一関保健所,岩手県-一関-0008,県南歯科技工所,一関市末広一丁目3番18号
岩手県-一関保健所,岩手県-一関-0009,ケーディーラボ,一関市花泉町花泉町字深井沢32番地17
岩手県-一関保健所,岩手県-一関-0010,阿部デンタルワーク,一関市花泉町金沢字北町22番地
岩手県-一関保健所,岩手県-一関-0011,ケンタ歯工,一関市花泉町涌津字境27番地3
岩手県-一関保健所,岩手県-一関-0012,東洋歯研工業(株)一関営業所,西磐井郡平泉町平泉字正法10番地
岩手県-一関保健所,岩手県-一関-0013,平泉デンタル・ラボ,西磐井郡平泉町平泉字大平28番地2
岩手県-一関保健所,岩手県-一関-0014,熊谷デンタルラボラトリー,一関市藤沢町黄海字町裏295番地
岩手県-一関保健所,岩手県-一関-0015,谷田デンタル・ラボ,一関市千厩町千厩字四日町29番地7
岩手県-一関保健所,岩手県-一関-0016,デンタルラボUP,一関市滝沢字木ノ川58番地6
岩手県-一関保健所,岩手県-一関-0017,サトウ歯研,一関市花泉町永井字鞍懸山86番地
岩手県-一関保健所,岩手県-一関-0018,URANUS,一関市字沢161番地210
岩手県-一関保健所,岩手県-一関-0019,(有)ヨシハラメディカルサービス,一関市花泉町花泉字深井沢33番地3
岩手県-一関保健所,岩手県-一関-0020,オオモリデンタルオフィス,一関市花泉町永井字東方227番地3
岩手県-一関保健所,岩手県-一関-0021,HASEGAWALABO,一関市赤荻字荻野102番地6
岩手県-一関保健所,岩手県-一関-0022,(株)ちばデンタルラボ,一関市花泉町涌津字二ノ町7番地2
岩手県-一関保健所,岩手県-一関-0023,武田歯科技工所,一関市田村町3番41号
岩手県-一関保健所,岩手県-一関-0024,藤沢デンタルらぼ,一関市藤沢町新沼字南沢43番地
岩手県-一関保健所,岩手県-一関-0025,サトウデンタルファクトリー,一関市花泉町永井字東方227番地3
岩手県-一関保健所,岩手県-一関-0026,デンタルラボ一関歯研,一関市三関字仲田25番地3
岩手県-一関保健所,岩手県-一関-0027,Stshiken,一関市花泉町永井字東方227番地3
岩手県-大船渡保健所,岩手県-大船渡-0001,(有）エースデンタル,大船渡市立根町字川原29-17
岩手県-大船渡保健所,岩手県-大船渡-0002,ＨＳデンタルラボラトリー,大船渡市三陸町綾里字野形6
岩手県-大船渡保健所,岩手県-大船渡-0003,大船渡義歯専門所,大船渡市赤崎町字大立43-1
岩手県-大船渡保健所,岩手県-大船渡-0004,Ｋｏｍｕｋａｉデンタルワークス,大船渡市盛町字みどり町17-1
岩手県-大船渡保健所,岩手県-大船渡-0005,リアス歯研,大船渡市三陸町越喜来字前田89-6
岩手県-大船渡保健所,岩手県-大船渡-0006,ＳＫデンタル,陸前高田市高田町字荒沢７－10
岩手県-大船渡保健所,岩手県-大船渡-0007,大畑デンタル,大船渡市赤崎町字中井72
岩手県-大船渡保健所,岩手県-大船渡-0008,新・Dental・L,大船渡市盛町字下舘下1-41
岩手県-大船渡保健所,岩手県-大船渡-0009,弘和歯研,陸前高田市広田町字根岬92-1
岩手県-大船渡保健所,岩手県-大船渡-0010,ササキラボ,陸前高田市米崎町字糠塚沢52-3
岩手県-大船渡保健所,岩手県-大船渡-0011,佐藤　強,大船渡市赤崎町大立43-1
岩手県-大船渡保健所,岩手県-大船渡-0012,ササキデンタルラボ,陸前高田市高田町字館の沖142-2
岩手県-大船渡保健所,岩手県-大船渡-0013,Ｙデンタル,陸前高田市気仙町字小渕84-32
岩手県-大船渡保健所,岩手県-大船渡-0014,紺野歯科技工所,陸前高田市気仙町字町165-2
岩手県-大船渡保健所,岩手県-大船渡-0015,サトウギコウ,陸前高田市高田町字鳴石53-21
岩手県-大船渡保健所,岩手県-大船渡-0016,気仙デンタルラボラトリー,大船渡市大船渡町字丸森13-7
岩手県-大船渡保健所,岩手県-大船渡-0017,プレシジョン,大船渡市末崎町字大田37-154
岩手県-大船渡保健所,岩手県-大船渡-0018,(有）三陸デンタルラボ,陸前高田市高田町字裏田54-2
岩手県-大船渡保健所,岩手県-大船渡-0019,佐藤デンタルラボラトリー,大船渡市盛町字舘下2-13
岩手県-大船渡保健所,岩手県-大船渡-0020,クマガイ・デンタル・ラボ,大船渡市大船渡町字宮の前99
岩手県-大船渡保健所,岩手県-大船渡-0021,鈴木歯科技工所,陸前高田市高田町字中長砂11-2
岩手県-大船渡保健所,岩手県-大船渡-0022,タクミ．デンタル．ラボ,陸前高田市気仙町字町55-4
岩手県-大船渡保健所,岩手県-大船渡-0023,コエダ企画,大船渡市三陸町吉浜字扇洞20-2
岩手県-釜石保健所,岩手県-釜石-0001,三陸歯科技工所,釜石市野田町4-6-2
岩手県-釜石保健所,岩手県-釜石-0002,福成歯科技工所,釜石市甲子町第5地割129-5
岩手県-釜石保健所,岩手県-釜石-0003,さわや,釜石市唐丹町字荒川91-3
岩手県-釜石保健所,岩手県-釜石-0004,川崎セラミックスラボ,釜石市甲子町3-36-6
岩手県-釜石保健所,岩手県-釜石-0005,スズキプロソデント,釜石市中妻町1-9-13
岩手県-釜石保健所,岩手県-釜石-0006,Ｍ・Ｔデンタルラボ,釜石市只越町３丁目５番15号
岩手県-釜石保健所,岩手県-釜石-0007,ＳＵＧＡデンタルラボラトリー,釜石市甲子町9-132-5
岩手県-釜石保健所,岩手県-釜石-0008,(有)高橋デンタルサービス 休止中,釜石市大町4-25
岩手県-釜石保健所,岩手県-釜石-0009,コンノデンタルラボ,上閉伊郡大槌町大槌第16地割20-44
岩手県-宮古保健所,岩手県-宮古-0001,藤原歯科技研,宮古市刈屋第4地割12番地1
岩手県-宮古保健所,岩手県-宮古-0002,柿本デンタルラボラトリー,宮古市崎山第1地割21-4
岩手県-宮古保健所,岩手県-宮古-0003,おおだいら　Ｄentaｌ　Ｗing,宮古市西ヶ丘4丁目2-8
岩手県-宮古保健所,岩手県-宮古-0004,Ｄental　Ｐｒestiｇｅ シーラボ,宮古市中里団地4-11
岩手県-宮古保健所,岩手県-宮古-0005,ホワイトラボ,下閉伊郡山田町長崎長崎2-16-25
岩手県-宮古保健所,岩手県-宮古-0006,デンタル・Ｋ,下閉伊郡田野畑村和野208-2
岩手県-宮古保健所,岩手県-宮古-0007,デンタルラボ佐々木,下閉伊郡田野畑村羅賀166
岩手県-宮古保健所,岩手県-宮古-0008,マリンデンタル株式会社,下閉伊郡山田町北浜町104-4
岩手県-宮古保健所,岩手県-宮古-0009,小野寺歯科技工所,宮古市西町1-1-5
岩手県-宮古保健所,岩手県-宮古-0010,デンタルウエスト,宮古市飯岡5-25-17
岩手県-宮古保健所,岩手県-宮古-0011,岩間デンタル・ラボ,宮古市鴨崎町4-31
岩手県-久慈保健所,岩手県-久慈-0001,（有）小柳ヒューマンデント,久慈市八日町1-37
岩手県-久慈保健所,岩手県-久慈-0002,畠山デンラルラボ,久慈市宇部町第3地割2-10
岩手県-久慈保健所,岩手県-久慈-0003,デンタルマーリン,久慈市寺里第33地割57-22みどり荘9号
岩手県-久慈保健所,岩手県-久慈-0004,三上デンタルラボ,久慈市栄町第31地割42-1
岩手県-二戸保健所,岩手県-二戸-0001,Ｎ`ｓデンタルラボラトリー,二戸市仁左平字下構31
岩手県-二戸保健所,岩手県-二戸-0002,チェリーデンタルラボ,二戸市米沢字下村3-1
岩手県-二戸保健所,岩手県-二戸-0003,ハーモナイズ・デンタル・ラボラトリー,二戸市福岡字横丁15-8
岩手県-二戸保健所,岩手県-二戸-0004, ａ ｎ ｔ  （アント）,二戸市米沢字家ノ上13-1
